neighbourhood,CountyName,zillow_price_january,zillow_price_february,zillow_price_march,zillow_price_april,zillow_price_may,zillow_price_june,zillow_price_july,zillow_price_august,zillow_price_september,zillow_price_october,zillow_price_november,zillow_price_december,nypd_precinct,borough,airbnb_count_december,airbnb_count_november,airbnb_count_october,airbnb_count_september,airbnb_count_august,airbnb_count_july,airbnb_count_june,airbnb_count_may,airbnb_count_april,airbnb_count_march,airbnb_count_february,airbnb_count_january,misdemeanor_count_december,misdemeanor_count_november,misdemeanor_count_october,misdemeanor_count_september,misdemeanor_count_august,misdemeanor_count_july,misdemeanor_count_june,misdemeanor_count_may,misdemeanor_count_april,misdemeanor_count_march,misdemeanor_count_february,misdemeanor_count_january,felony_count_december,felony_count_november,felony_count_october,felony_count_september,felony_count_august,felony_count_july,felony_count_june,felony_count_may,felony_count_april,felony_count_march,felony_count_february,felony_count_january,violation_count_december,violation_count_november,violation_count_october,violation_count_september,violation_count_august,violation_count_july,violation_count_june,violation_count_may,violation_count_april,violation_count_march,violation_count_february,violation_count_january
OCEAN HILL,Kings County,721431,721183,724373,726912,733036,736626,739127,739597,738529,737414,734948,734267,73,Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,122,191,179,155,216,211,163,210,230,193,204,229,117,141,185,157,182,171,136,193,140,168,174,210,7,10,6,5,6,10,14,14,10,14,5,17
EAST NEW YORK,Kings County,483459,483357,484513,486712,489327,490588,490641,491011,492538,493474,494800,496309,75,Brooklyn,417,189,192,175,180,190,181,174,179,190,309,308,166,209,235,207,233,261,247,251,210,260,228,221,188,256,280,314,303,281,274,282,258,250,250,251,3,3,5,6,7,10,8,7,6,7,8,10
CARROLL GARDENS,Kings County,1498987,1492868,1489245,1491492,1493736,1496015,1494714,1487845,1487355,1478233,1468665,1455808,76,Brooklyn,239,85,84,78,79,82,85,90,92,95,244,241,41,53,73,69,71,91,77,81,86,107,81,93,29,30,57,44,51,58,65,60,55,54,69,63,2,1,6,7,7,10,7,5,10,8,6,4
COBBLE HILL,Kings County,1392039,1387409,1388088,1388807,1397077,1402933,1402895,1397516,1400486,1400079,1400596,1401582,76,Brooklyn,99,20,22,25,26,22,22,24,20,19,64,61,41,53,73,69,71,91,77,81,86,107,81,93,29,30,57,44,51,58,65,60,55,54,69,63,2,1,6,7,7,10,7,5,10,8,6,4
COLUMBIA STREET WATERFRONT DISTRICT,Kings County,1048251,1048435,1051539,1054055,1054460,1054321,1053302,1049018,1048087,1049270,1051154,1051738,76,Brooklyn,42,7,8,8,12,10,11,12,7,7,39,38,41,53,73,69,71,91,77,81,86,107,81,93,29,30,57,44,51,58,65,60,55,54,69,63,2,1,6,7,7,10,7,5,10,8,6,4
GOWANUS,Kings County,1251202,1245547,1245272,1245529,1244346,1240849,1236100,1229766,1226229,1221235,1215714,1208385,76,Brooklyn,241,102,99,102,102,104,108,116,104,108,190,191,41,53,73,69,71,91,77,81,86,107,81,93,29,30,57,44,51,58,65,60,55,54,69,63,2,1,6,7,7,10,7,5,10,8,6,4
RED HOOK,Kings County,1915480,1899438,1874833,1876488,1876345,1885146,1887526,1881609,1863909,1834782,1807178,1781148,76,Brooklyn,82,38,38,41,36,39,35,29,37,38,73,72,41,53,73,69,71,91,77,81,86,107,81,93,29,30,57,44,51,58,65,60,55,54,69,63,2,1,6,7,7,10,7,5,10,8,6,4
CROWN HEIGHTS,Kings County,897210,892691,890096,891197,891764,888989,885952,879844,878740,876171,872668,867026,77,Brooklyn,1635,627,635,633,673,656,645,666,648,650,1517,1549,95,98,134,105,108,129,132,129,112,140,134,129,113,121,133,113,111,139,123,144,146,123,86,147,0,0,1,0,0,2,4,2,1,2,2,4
PARK SLOPE,Kings County,1106570,1109961,1112700,1113898,1113514,1114065,1109854,1102862,1099046,1091681,1080277,1062177,78,Brooklyn,778,305,303,305,317,312,306,326,322,324,788,789,45,51,54,59,81,79,72,73,64,92,74,85,26,44,39,35,38,34,56,45,30,31,42,52,0,0,3,0,0,0,0,0,0,2,3,0
BEDFORD STUYVESANT,Kings County,996153,991931,993266,998627,1001537,1001400,1000211,995251,992209,990967,989268,991483,79,Brooklyn,3974,1871,1848,1888,1893,1881,1896,1893,1912,1927,3305,3282,80,106,143,118,160,142,156,171,154,148,118,127,86,98,121,119,99,111,131,122,112,133,91,121,1,3,10,2,7,7,11,12,11,6,3,3
BUSHWICK,Kings County,935148,934559,936782,941611,942355,939646,938728,937370,938402,940229,941924,947098,83,Brooklyn,2504,960,947,953,1012,1009,981,977,989,998,2332,2387,102,88,127,111,108,112,123,130,131,147,165,172,67,91,99,119,107,93,80,109,119,112,94,107,3,2,2,4,2,2,2,3,2,1,1,0
BOERUM HILL,Kings County,1368217,1359360,1356112,1351195,1348516,1345483,1340901,1333211,1328308,1321338,1310771,1301958,84,Brooklyn,180,88,94,91,98,89,91,91,95,97,245,244,80,113,109,121,100,106,126,132,124,138,140,175,102,90,122,109,100,156,102,99,150,238,84,112,2,0,2,1,1,5,4,3,3,5,3,9
BROOKLYN HEIGHTS,New York County,1161704,1179072,1181766,1186948,1188906,1201142,1189401,1171053,1147700,1127622,1109517,1087450,84,Brooklyn,150,37,36,35,46,47,51,50,43,42,148,145,80,113,109,121,100,106,126,132,124,138,140,175,102,90,122,109,100,156,102,99,150,238,84,112,2,0,2,1,1,5,4,3,3,5,3,9
DOWNTOWN,Kings County,688480,683361,673530,664731,656866,654263,649499,646191,643970,639479,634431,630051,84,Brooklyn,81,58,60,54,49,67,60,61,60,64,110,114,80,113,109,121,100,106,126,132,124,138,140,175,102,90,122,109,100,156,102,99,150,238,84,112,2,0,2,1,1,5,4,3,3,5,3,9
